title,job_industry,date_posted,job_description,job_keyInfo
Juju Software Engineer (Go),"View Jobs in ICT / Telecommunication
/
View Jobs at Canonical","Posted: Jun 7, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
We deliver open source to the world faster, more securely and more cost effectively than any other company. If you're interested in a career at Canonical, we are a remote-first company so please apply to any suitable role as skills are valued more than location, despite some having a preferred geographic preference.

Read more about this company
 

Juju Software Engineer (Go)


Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp




As a software engineer on the team, you'll be contributing to the development of Juju, a large open-source Go project that powers complex distributed software systems across the world.
Juju is the engine behind model-driven operations, providing a means to operate complex software on public cloud, private cloud, Kubernetes, and bare-metal. Combined with the Ops framework, Juju provides a complete solution for applications and infrastructure management.
Many internal and external teams depend on Juju to deliver their products and services - from Canonical Managed Solutions, our OpenStack and cloud delivery teams, to Fortune 500 companies.

Location: This is a Globally remote role.
What your day will look like

Contribute to the design, delivery, and support of features in a highly concurrent, highly distributed system that drives cloud automation and software operations at scale.
Collaborate proactively with a distributed team
Debug issues and interact with upstream communities publicly
Work with helpful and talented engineers including experts in many fields
Discuss ideas and collaborate on finding good solutions
Work from home with global travel for 2 to 4 weeks per year for internal and external events

What we are looking for in you

Experience developing software using Go.
Excellent communication skills in the English language, both verbal and written, especially in online environments
An exceptional academic track record from both high school and preferably university
Willingness to travel up to 4 times a year for internal events

Additional skills that you might also bring
The following skills may be helpful to you in the role, but we don't expect everyone to bring all of them.

Hands-on experience developing highly concurrent distributed systems
Experience with container technologies (Docker, LXD, Kubernetes, etc.)
Solid networking background and experience
Experience with agile software development methodologies
Experience in the Linux and open-source software world
Experience with configuration management software (Ansible, Chef, Puppet, et al.)
Working knowledge of cloud computing
Experience with software packaging (Debian, snaps)
Programming with, and operating, SQL and NoSQL databases
Experience working on a distributed team on an open source project -- even if that is community open source contributions.
Demonstrated track record of Open Source contributions
Prior experience developing plugins for Terraform








Method of Application 

Interested and qualified? Go to Canonical on boards.greenhouse.io to apply


Build your CV for free. Download in different templates.","Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp"
About Canonical,,,,
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics","View Jobs in ICT / Telecommunication
/
View Jobs at Canonical","Posted: Jun 7, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
We deliver open source to the world faster, more securely and more cost effectively than any other company. If you're interested in a career at Canonical, we are a remote-first company so please apply to any suitable role as skills are valued more than location, despite some having a preferred geographic preference.

Read more about this company
 

Python and Kubernetes Software Engineer - Data, AI/ML & Analytics


Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field Data, Business Analysis and AI&nbsp , ICT / Computer&nbsp




The company is founder led, profitable and growing. We are hiring Python and Kubernetes Specialist Engineers focused on Data, AI/ML and Analytics Solutions to join our teams building open source solutions for public cloud and private infrastructure.
As a software engineer on the team, you'll collaborate on an end-to-end data analytics and mlops solution composed of popular, open-source, machine learning tools, such as Kubeflow, MLFlow, DVC, and Feast. You may also work on workflow, ETL, data governance and visualization tools like Apache SuperSet, dbt, and Temporal, or data warehouse solutions such as Apache Trino, or ClickHouse. Your team will own a solution from the analytics and machine learning space, and integrate with the solutions from other teams to build the world's best end-to-end data platform. These solutions may be run on servers or on the cloud, on machines or on Kubernetes, on developer desktops, or as web services.
We serve the needs of individuals and community members as much as the needs of our Global 2000 and Fortune 500 customers; we make our primary work available free of charge and our Pro subscriptions are also available to individuals for personal use at no cost. Our goal is to enable more people to enjoy the benefits of open source, regardless of their circumstances.
Location: This initiative spans many teams that are home-based in EMEA, Americas and APAC time zones, so we can accommodate candidates in almost any location. We believe in distributed collaboration but we also try to ensure that colleagues have company during their work hourse! Successful candidates will join a team where most members and your manager are broadly in the same time zone so that you have the benefits of constant collaboration and discussion.

What your day will look like

Develop your understanding of the entire Linux stack, from kernel, networking, and storage, to the application layer
Design, build and maintain solutions that will be deployed on public and private clouds and local workstations
Master distributed systems concepts such as observability, identity, tracing
Work with both Kubernetes and machine-oriented open source applications
Collaborate proactively with a distributed team of engineers, designers and product managers
Debug issues and interact in public with upstream and Ubuntu communities
Generate and discuss ideas, and collaborate on finding good solutions

What we are looking for in you

Professional or academic software delivery using Python or Golang
Exceptional academic track record from both high school and university
Undergraduate degree in a technical subject or a compelling narrative about your alternative chosen path
Confidence to respectfully speak up, exchange feedback, and share ideas without hesitation
Track record of going above-and-beyond expectations to achieve outstanding results
Passion for technology evidenced by personal projects and initiatives
The work ethic and confidence to shine alongside motivated colleagues
Professional written and spoken English with excellent presentation skills
Experience with Linux (Debian or Ubuntu preferred)
Excellent interpersonal skills, curiosity, flexibility, and accountability
Appreciative of diversity, polite and effective in a multi-cultural, multi-national organisation
Thoughtfulness and self-motivation
Result-oriented, with a personal drive to meet commitments
Ability to travel twice a year, for company events up to two weeks long

Additional Skills That Would Be Nice To Have
The following skills may be helpful to you in the role, but we don't expect everyone to bring all of them.

Hands-on experience with machine learning libraries, or tools.
Proven track record of building highly automated machine learning solutions for the cloud.
Experience with container technologies (Docker, LXD, Kubernetes, etc.)
Experience with public clouds (AWS, Azure, Google Cloud)
Working knowledge of cloud computing
Passionate about software quality and testing
Experience working on an open source project








Method of Application 

Interested and qualified? Go to Canonical on boards.greenhouse.io to apply


Build your CV for free. Download in different templates.","Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field Data, Business Analysis and AI&nbsp , ICT / Computer&nbsp"
About AJUA (Formerly mSurvey),,,,
Software Engineer (Frontend),"View Jobs in ICT / Telecommunication
/
View Jobs at AJUA (Formerly mSurvey)","Posted: Jun 7, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
AJUA (Formerly mSurvey) is Africa's first Integrated Customer Experience platform for businesses on the continent. We exist to bridge the gap between businesses and their customers. Ajua’s technology integrates with businesses at the points that matter most to their customers to measure and optimize their Customer Experience.

Read more about this company
 

Software Engineer (Frontend)


Job Type Full Time
Qualification BA/BSc/HND
Experience 3 years
Location Nairobi
Job Field ICT / Computer&nbsp



Requirements

Team player for a committed dev team.
3+ years of progressive software development experience (we product development preferred).
Experience with Java (or JVM languages), Python/PHP frameworks, and full-stack web development frameworks.
Strong understanding of front-end frameworks (React preferred).
Familiarity with emerging software paradigms and technologies.
Experience with APls and implementation.
Proficient in Unix/Linux, web services, and APIs.
Experience with Agile methodologies.
Secure software development practices understanding.
Optimizes code for functionality and efficiency.
Strong system design/documentation skills with an eye for detail (data & business requirements).








Method of Application 

Submit your CV to careeerseajua.com
 


Build your CV for free. Download in different templates.","Job Type Full Time
Qualification BA/BSc/HND
Experience 3 years
Location Nairobi
Job Field ICT / Computer&nbsp"
About Cigna,,,,
React Native Software Engineer,"View Jobs in Insurance
/
View Jobs at Cigna","Posted: Jun 6, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
Cigna is a global health service company, dedicated to helping the people we serve improve their health, well-being and sense of security. Cigna has almost 40,000 employees who service over 80 million customer relationships around the world. Within its international division, a dedicated unit - headquartered in Belgium - focuses on the needs of International...

Read more about this company
 

React Native Software Engineer


Job Type Full Time
Qualification BA/BSc/HND
Experience 4 years
Location Nairobi
Job Field ICT / Computer&nbsp



Overview
Cigna International Health is initiating a project to develop a cutting-edge global mobile solution to bolster the expansion of our health businesses across the globe. We’re actively seeking accomplished leaders to champion our vision and steer us towards building a mobile platform for serving Cigna’s customers all over the world.
We are seeking an experienced Software Engineering to drive our front-end software development efforts in creating high-quality mobile solutions. The ideal candidate will engineer technical solutions, produce clean code, and ensure successful delivery of software solutions aligned with business goals.
Responsibilities
Technical Leadership:

Be responsible for the output of multiple disciplines within Application Development.
Implement software engineering strategy, ensuring that it aligns with the overall business and product objectives.
Contribute to the definition of applications development policies, standards, and procedures.

Project Delivery:

Execute software projects, ensuring they are delivered on time, within budget, and meet quality standards.
Develop solutions using TDD methodology.
Execute project plans and application designs to ensure projects are aligned with standards and IT strategy.
Architecture and Development: Guide the design principles, and development processes to ensure scalable, secure, and efficient solutions, collaborating with other senior leads.
Operational Efficiency: Implement DevSecOps to streamline processes, tools, and workflows to optimize engineering operations and enhance productivity.

Requirements

Experience: Proven experience (4 years) in a role within software development for commercial software products, with a strong technical background.
Technical Acumen: Knowledge of software development methodologies, source code management strategies, design patterns, DevSecOps, automation, and best practices. Ability to translate non-functional requirements such as availability, flexibility, stability, ease of maintenance and security.
Technologies covered: Experience of implementing software using ReactNative framework, TypeScript, web based and desktop clients, application servers, relational and non-relational databases, testing strategies.
Education: Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field.
Global and regulatory landscapes: Experience of working practices across multiple geographies and with regional nuances such as tax rules, regulatory interfaces, multi-currency, multi-language etc is an advantage.
Aware of the concrete effects of architectural decisions – specifically microservice architecture – at the code level, in collaboration with other team members. 

Desirable


Experience of using Jira









Method of Application 

Interested and qualified? Go to Cigna on cigna.wd5.myworkdayjobs.com to apply


Build your CV for free. Download in different templates.","Job Type Full Time
Qualification BA/BSc/HND
Experience 4 years
Location Nairobi
Job Field ICT / Computer&nbsp"
About Cigna,,,,
React Native Senior Software Engineer,"View Jobs in Insurance
/
View Jobs at Cigna","Posted: Jun 6, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
Cigna is a global health service company, dedicated to helping the people we serve improve their health, well-being and sense of security. Cigna has almost 40,000 employees who service over 80 million customer relationships around the world. Within its international division, a dedicated unit - headquartered in Belgium - focuses on the needs of International...

Read more about this company
 

React Native Senior Software Engineer


Job Type Full Time
Qualification BA/BSc/HND
Experience 7 years
Location Nairobi
Job Field ICT / Computer&nbsp



Responsibilities
Technical Leadership:

Provide direction and be responsible for the output of frontend discipline within Application Development.
Implement software engineering strategy, ensuring that it aligns with the overall business and product objectives.
Own the frontend application development capability for our global mobile solution aligned with the product vision as defined by the global mobile solution product owner.
Contribute to the definition of applications development policies, standards, and procedures.

Team Leadership:

Lead, mentor, and manage junior software development team members, fostering a culture of innovation, automation, collaboration, and excellence.
Responsible for career development and performance management of junior software development team members.

Project Delivery:

Execute software projects, ensuring they are delivered on time, within budget, and meet quality standards.
Develop solutions using TDD methodology.
Execute project plans and application designs to ensure projects are aligned with standards and IT strategy.
Allocate appropriate resources to ensure that projects are completed within committed time and budget and are integrated with other software applications.
Architecture and Development: Guide the design principles, and development processes to ensure scalable, secure, and efficient solutions, collaborating with other senior leads.
Operational Efficiency: Implement DevSecOps to streamline processes, tools, and workflows to optimize engineering operations and enhance productivity.

Requirements

Experience: Proven experience (7 years) in a senior role within software development for commercial software products, with a strong technical background.
Technical Acumen: Extensive knowledge of software development methodologies, source code management strategies, design patterns, DevSecOps, automation, and best practices. Ability to translate non-functional requirements such as availability, flexibility, stability, ease of maintenance and security.
Technologies covered: Experience of implementing software using ReactNative framework, TypeScript, web based and desktop clients, application servers, relational and non-relational databases, testing strategies.
Leadership Skills: Good leadership, mentoring, and communication skills to guide and inspire junior technical team members.
Education: Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field.
Global and regulatory landscapes: Understanding and experience of working practices across multiple geographies. Experience with regional nuances such as tax rules, regulatory interfaces, multi-currency, multi-language etc is an advantage.
Aware of the concrete effects of architectural decisions – specifically microservice architecture – at the code level, in collaboration with other team members.

Desirable


Experience of using Jira









Method of Application 

Interested and qualified? Go to Cigna on cigna.wd5.myworkdayjobs.com to apply


Build your CV for free. Download in different templates.","Job Type Full Time
Qualification BA/BSc/HND
Experience 7 years
Location Nairobi
Job Field ICT / Computer&nbsp"
About Jumia,,,,
Frontend Software Engineer,"View Jobs in Internet / E-commerce
/
View Jobs at Jumia","Posted: Jun 4, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
JUMIA is an e-commerce startup with an aim to mimic Amazon’s success by delivering a wide range of items, from toys to generators across the African continent. Shortly after the startup of the business in Nigeria, JUMIA launched warehouses in four other growing countries which include: Egypt, Morocco, Kenya and Cote d'Ivoire.

Read more about this company
 

Frontend Software Engineer


Job Type Full Time
Qualification BA/BSc/HND
Experience 1 year
Location Nairobi
Job Field ICT / Computer&nbsp



What you will be doing
Be part of an agile team that develops smart logistics solutions on a service-oriented architecture using state-of-the-art technologies
In particular, you will:

Work closely with a multidisciplinary team (Backend developers, DevOps, QA engineers, Product Owners) oriented to continuous delivery
Work across the entire product life cycle: concept, design, development, deployment, testing, release, support
Construct and verify (unit test) software components to meet design specifications
Take ownership for your code to be qualitatively high and you will support your colleagues in code reviews
Integration of user-facing elements developed by front-end developers
Rapidly fix bugs and solve problems

What we are looking for

Understanding fundamental design principles behind a scalable application
Write and test interactive, clean, secure and efficient solutions
Help maintain a high-level quality code by reviewing your teammates' code
Continuously improve our code base, systems and processes
Keen to learn new technologies and have ideas about how we can make things better
Being passionate, self-driven and working with little supervision towards a common team or company purpose
Excellent communication skills and being able to work independently or in a full team
A professional with 1+ years of frontend web experience
Proficient with at least one widely adopted single page application (SPA) architecture
Vanilla Javascript and modern frameworks and platforms such as AngularJS, Ember, ReactJS, VueJS and/or Node.js
Know module bundlers and task runners such as Webpack, Parcel, Rollup, Browserify, Grunt or Gulp
Semantic documents using HTML
Developing great user interfaces
Creating a testable code and make testing a priority
Agile methodologies such as Scrum and Kanban
Passionate for coaching other engineers and building a strong team culture








Method of Application 

Interested and qualified? Go to Jumia on boards.eu.greenhouse.io to apply


Build your CV for free. Download in different templates.","Job Type Full Time
Qualification BA/BSc/HND
Experience 1 year
Location Nairobi
Job Field ICT / Computer&nbsp"
